actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,shotDistance,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
587,PT04M44.00S,2024-11-05T02:31:48.7Z,4,REGULAR,3pt,Jump Shot,"['2ndchance', 'fromturnover']",1631120,69.33311432325887,69.36274509803921,1610612738,84,118,2024-11-05T02:44:58Z,5800000,False,97.0,236.0,1,right,MISS J. Davison 25' 3PT,[1631120],1610612738.0,BOS,,,,Davison,J. Davison,,,,,Above the Break 3,24+ Right Center,,,,,,Missed,,,,,,25.49,,,,,,,,
588,PT04M40.00S,2024-11-05T02:31:52.7Z,4,REGULAR,rebound,defensive,[],1630811,,,1610612737,84,118,2024-11-05T02:31:54Z,5810000,False,,,0,,K. Wallace REBOUND (Off:0 Def:3),[1630811],1610612737.0,ATL,,,,Wallace,K. Wallace,,,,,Above the Break 3,24+ Right Center,,,,,,,,587.0,3.0,3.0,0.0,,,,,,,,,
589,PT04M37.00S,2024-11-05T02:31:55.7Z,4,REGULAR,3pt,Jump Shot,['fastbreak'],1631223,29.6484888304862,72.05882352941177,1610612737,84,118,2024-11-05T02:32:01Z,5820000,False,-110.0,226.0,1,left,MISS D. Roddy 25' running pullup 3PT,[1631223],1610612737.0,ATL,running pullup,,,Roddy,D. Roddy,,,,,Above the Break 3,24+ Left Center,,,,,,Missed,,,,,,25.17,,,,,,,,
590,PT04M34.00S,2024-11-05T02:31:58.7Z,4,REGULAR,rebound,defensive,[],1630214,,,1610612738,84,118,2024-11-05T02:32:01Z,5830000,False,,,0,,X. Tillman REBOUND (Off:0 Def:1),[1630214],1610612738.0,BOS,,,,Tillman,X. Tillman,,,,,Above the Break 3,24+ Left Center,,,,,,,,589.0,1.0,1.0,0.0,,,,,,,,,
591,PT04M31.00S,2024-11-05T02:32:02.2Z,4,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1631248,90.3580814717477,46.568627450980394,1610612738,84,118,2024-11-05T02:32:10Z,5840000,False,-17.0,38.0,1,right,MISS B. Scheierman running Layup - blocked,"[1631248, 1630811]",1610612738.0,BOS,running,,,Scheierman,B. Scheierman,,,,,Restricted Area,0-8 Center,,,,,,Missed,,,,,,4.18,,,,,,,Wallace,1630811.0
592,PT04M31.00S,2024-11-05T02:32:02.2Z,4,REGULAR,block,,[],1630811,,,1610612738,84,118,2024-11-05T02:32:06Z,5850000,False,,,0,,K. Wallace BLOCK (2 BLK),[1630811],1610612737.0,ATL,,,,Wallace,K. Wallace,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
593,PT04M27.00S,2024-11-05T02:32:06.2Z,4,REGULAR,rebound,defensive,[],1630811,,,1610612737,84,118,2024-11-05T02:32:10Z,5860000,False,,,0,,K. Wallace REBOUND (Off:0 Def:4),[1630811],1610612737.0,ATL,,,,Wallace,K. Wallace,,,,,Restricted Area,0-8 Center,,,,,,,,591.0,4.0,4.0,0.0,,,,,,,,,
594,PT04M19.00S,2024-11-05T02:32:14.1Z,4,REGULAR,2pt,Layup,['pointsinthepaint'],1631223,6.915243101182654,47.794117647058826,1610612737,86,118,2024-11-05T02:32:18Z,5870000,False,11.0,13.0,1,left,D. Roddy driving Layup (9 PTS),[1631223],1610612737.0,ATL,driving,,,Roddy,D. Roddy,,,,,Restricted Area,0-8 Center,,,,,,Made,9.0,,,,,1.67,,,,,,,,
595,PT04M05.00S,2024-11-05T02:32:27.8Z,4,REGULAR,3pt,Jump Shot,[],1641775,69.33311432325887,70.34313725490196,1610612738,86,118,2024-11-05T02:32:34Z,5880000,False,102.0,236.0,1,right,MISS J. Walsh 25' 3PT,[1641775],1610612738.0,BOS,,,,Walsh,J. Walsh,,,,,Above the Break 3,24+ Right Center,,,,,,Missed,,,,,,25.68,,,,,,,,
596,PT04M03.00S,2024-11-05T02:32:29.8Z,4,REGULAR,rebound,defensive,['team'],0,,,1610612737,86,118,2024-11-05T02:32:34Z,5890000,False,,,0,,TEAM defensive REBOUND,[],1610612737.0,ATL,,,,,,,,,,Above the Break 3,24+ Right Center,,,,,,,,595.0,,,,,,,,,,,,
597,PT04M03.00S,2024-11-05T02:32:34.3Z,4,REGULAR,foul,personal,[],1630531,,,1610612737,86,118,2024-11-05T02:32:41Z,5900000,False,,,0,,J. Springer loose ball personal FOUL (1 PF),"[1630531, 1631223]",1610612738.0,BOS,loose ball,,,Springer,J. Springer,,,,,Restricted Area,0-8 Center,200832.0,1.0,0.0,Roddy,1631223.0,,,,,,,,,,,,,,,
599,PT04M03.00S,2024-11-05T02:32:44.9Z,4,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612737,86,118,2024-11-05T02:32:44Z,5920000,False,,,0,,ATL Timeout,[],1610612737.0,ATL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600,PT04M03.00S,2024-11-05T02:35:09.6Z,4,REGULAR,substitution,out,[],1630811,,,1610612737,86,118,2024-11-05T02:35:32Z,5930000,False,,,0,,SUB out: K. Wallace,[1630811],1610612737.0,ATL,,,,Wallace,K. Wallace,,,,,,,,,,,,,,,,,,,,,,,,,,
601,PT04M03.00S,2024-11-05T02:35:09.6Z,4,REGULAR,substitution,in,[],1629726,,,1610612737,86,118,2024-11-05T02:35:32Z,5940000,False,,,0,,SUB in: G. Mathews,[1629726],1610612737.0,ATL,,,,Mathews,G. Mathews,,,,,,,,,,,,,,,,,,,,,,,,,,
602,PT03M47.00S,2024-11-05T02:35:48.4Z,4,REGULAR,3pt,Jump Shot,[],1642258,32.013797634691194,54.166666666666664,1610612737,86,118,2024-11-05T02:35:54Z,5950000,False,-21.0,248.0,1,left,MISS Z. Risacher 24' step back 3PT,[1642258],1610612737.0,ATL,step back,,,Risacher,Z. Risacher,,,,,Above the Break 3,24+ Center,,,,,,Missed,,,,,,24.93,,,,,,,,
603,PT03M43.00S,2024-11-05T02:35:52.4Z,4,REGULAR,rebound,defensive,[],1631248,,,1610612738,86,118,2024-11-05T02:35:54Z,5960000,False,,,0,,B. Scheierman REBOUND (Off:1 Def:2),[1631248],1610612738.0,BOS,,,,Scheierman,B. Scheierman,,,,,Above the Break 3,24+ Center,,,,,,,,602.0,3.0,2.0,1.0,,,,,,,,,
604,PT03M25.00S,2024-11-05T02:36:12.2Z,4,REGULAR,foul,personal,[],1642258,,,1610612738,86,118,2024-11-05T02:36:22Z,5970000,False,,,0,,Z. Risacher personal FOUL (2 PF),"[1642258, 1631120]",1610612737.0,ATL,,,,Risacher,Z. Risacher,,,,,In The Paint (Non-RA),8-16 Center,200832.0,2.0,0.0,Davison,1631120.0,,,,,,,,,,,,,,,
606,PT03M11.00S,2024-11-05T02:36:42.4Z,4,REGULAR,3pt,Jump Shot,[],1631248,79.84559789750328,6.372549019607843,1610612738,86,118,2024-11-05T02:36:48Z,5990000,False,-218.0,137.0,1,right,MISS B. Scheierman 25' 3PT,[1631248],1610612738.0,BOS,,,,Scheierman,B. Scheierman,,,,,Above the Break 3,24+ Left Center,,,,,,Missed,,,,,,25.76,,,,,,,,
607,PT03M08.00S,2024-11-05T02:36:45.4Z,4,REGULAR,rebound,defensive,[],1631243,,,1610612737,86,118,2024-11-05T02:36:48Z,6000000,False,,,0,,M. Gueye REBOUND (Off:0 Def:2),[1631243],1610612737.0,ATL,,,,Gueye,M. Gueye,,,,,Above the Break 3,24+ Left Center,,,,,,,,606.0,2.0,2.0,0.0,,,,,,,,,
608,PT02M54.00S,2024-11-05T02:36:59.8Z,4,REGULAR,turnover,lost ball,[],1642258,,,1610612737,86,118,2024-11-05T02:37:04Z,6010000,False,,,0,,Z. Risacher lost ball TURNOVER (2 TO),"[1642258, 1641775]",1610612737.0,ATL,,,,Risacher,Z. Risacher,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,2.0,Walsh,1641775.0,,,,,
609,PT02M54.00S,2024-11-05T02:36:59.8Z,4,REGULAR,steal,,[],1641775,,,1610612738,86,118,2024-11-05T02:37:02Z,6020000,False,,,0,,J. Walsh STEAL (2 STL),[1641775],1610612738.0,BOS,,,,Walsh,J. Walsh,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
610,PT02M50.00S,2024-11-05T02:37:06.6Z,4,REGULAR,turnover,traveling,[],1641775,,,1610612738,86,118,2024-11-05T02:37:12Z,6030000,False,,,0,,J. Walsh traveling TURNOVER (2 TO),[1641775],1610612738.0,BOS,,,,Walsh,J. Walsh,,,,,In The Paint (Non-RA),8-16 Center,1204.0,,,,,,,,,,,,2.0,,,,,,,
611,PT02M42.00S,2024-11-05T02:37:28.1Z,4,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1642258,6.783837056504599,49.01960784313725,1610612737,88,118,2024-11-05T02:37:32Z,6040000,False,5.0,11.0,1,left,Z. Risacher driving reverse Layup (15 PTS),[1642258],1610612737.0,ATL,driving reverse,,,Risacher,Z. Risacher,,,,,Restricted Area,0-8 Center,,,,,,Made,15.0,,,,,1.23,,,,,,,,
612,PT02M28.00S,2024-11-05T02:37:41.4Z,4,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631120,91.93495400788436,46.32352941176471,1610612738,88,120,2024-11-05T02:41:10Z,6050000,False,-18.0,23.0,1,right,J. Davison driving floating bank Jump Shot (2 PTS),[1631120],1610612738.0,BOS,driving floating bank,,,Davison,J. Davison,,,,,Restricted Area,0-8 Center,,,,,,Made,2.0,,,,,2.97,,,,,,,,
613,PT02M12.00S,2024-11-05T02:37:57.3Z,4,REGULAR,turnover,lost ball,[],1631223,,,1610612737,88,120,2024-11-05T02:38:01Z,6060000,False,,,0,,D. Roddy lost ball TURNOVER (2 TO),"[1631223, 1630531]",1610612737.0,ATL,,,,Roddy,D. Roddy,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,2.0,Springer,1630531.0,,,,,
614,PT02M12.00S,2024-11-05T02:37:57.3Z,4,REGULAR,steal,,[],1630531,,,1610612738,88,120,2024-11-05T02:37:59Z,6070000,False,,,0,,J. Springer STEAL (2 STL),[1630531],1610612738.0,BOS,,,,Springer,J. Springer,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
615,PT02M05.00S,2024-11-05T02:38:06.8Z,4,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1631230,,,1610612738,88,120,2024-11-05T02:38:27Z,6080000,False,,,0,,D. Barlow shooting personal FOUL (1 PF) (Davison 2 FT),"[1631230, 1631120]",1610612737.0,ATL,shooting,,,Barlow,D. Barlow,,,,,Restricted Area,0-8 Center,1204.0,1.0,0.0,Davison,1631120.0,,,,,,,,,,,,,,,
617,PT02M05.00S,2024-11-05T02:38:28.9Z,4,REGULAR,freethrow,1 of 2,['fromturnover'],1631120,,,1610612738,88,121,2024-11-05T02:38:44Z,6100000,False,,,0,,J. Davison Free Throw 1 of 2 (3 PTS),[1631120],1610612738.0,BOS,,,,Davison,J. Davison,,,,,,,,,,,,Made,3.0,,,,,,,,,,,,,
618,PT02M05.00S,2024-11-05T02:38:28.9Z,4,REGULAR,freethrow,2 of 2,['fromturnover'],1631120,,,1610612738,88,121,2024-11-05T02:38:44Z,6110000,False,,,0,,MISS J. Davison Free Throw 2 of 2,[1631120],1610612738.0,BOS,,,,Davison,J. Davison,,,,,,,,,,,,Missed,,,,,,,,,,,,,,
619,PT02M03.00S,2024-11-05T02:38:30.9Z,4,REGULAR,rebound,defensive,[],1631223,,,1610612737,88,121,2024-11-05T02:38:44Z,6120000,False,,,0,,D. Roddy REBOUND (Off:0 Def:4),[1631223],1610612737.0,ATL,,,,Roddy,D. Roddy,,,,,,,,,,,,,,618.0,4.0,4.0,0.0,,,,,,,,,
620,PT01M52.00S,2024-11-05T02:38:53.6Z,4,REGULAR,3pt,Jump Shot,[],1629726,31.09395532194481,55.88235294117647,1610612737,91,121,2024-11-05T02:39:00Z,6130000,False,-29.0,240.0,1,left,G. Mathews 24' 3PT  (10 PTS) (D. Roddy 3 AST),"[1629726, 1631223]",1610612737.0,ATL,,,,Mathews,G. Mathews,,,,,Above the Break 3,24+ Center,,,,,,Made,10.0,,,,,24.16,,,,D. Roddy,1631223.0,3.0,,
622,PT01M35.00S,2024-11-05T02:39:15.0Z,4,REGULAR,2pt,Layup,['pointsinthepaint'],1630531,91.93495400788436,47.794117647058826,1610612738,91,121,2024-11-05T02:39:20Z,6150000,False,-11.0,23.0,1,right,MISS J. Springer driving Layup,[1630531],1610612738.0,BOS,driving,,,Springer,J. Springer,,,,,Restricted Area,0-8 Center,,,,,,Missed,,,,,,2.58,,,,,,,,
623,PT01M33.00S,2024-11-05T02:39:17.0Z,4,REGULAR,rebound,defensive,[],1631223,,,1610612737,91,121,2024-11-05T02:39:20Z,6160000,False,,,0,,D. Roddy REBOUND (Off:0 Def:5),[1631223],1610612737.0,ATL,,,,Roddy,D. Roddy,,,,,Restricted Area,0-8 Center,,,,,,,,622.0,5.0,5.0,0.0,,,,,,,,,
624,PT01M29.00S,2024-11-05T02:39:23.2Z,4,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1631248,,,1610612737,91,121,2024-11-05T02:39:46Z,6170000,False,,,0,,B. Scheierman personal FOUL (1 PF) (Roddy 2 FT),"[1631248, 1631223]",1610612738.0,BOS,,,,Scheierman,B. Scheierman,,,,,Above the Break 3,24+ Left Center,200832.0,1.0,0.0,Roddy,1631223.0,,,,,,,,,,,,,,,
626,PT01M29.00S,2024-11-05T02:39:52.0Z,4,REGULAR,freethrow,1 of 2,[],1631223,,,1610612737,92,121,2024-11-05T02:39:52Z,6190000,False,,,0,,D. Roddy Free Throw 1 of 2 (10 PTS),[1631223],1610612737.0,ATL,,,,Roddy,D. Roddy,,,,,,,,,,,,Made,10.0,,,,,,,,,,,,,
627,PT01M29.00S,2024-11-05T02:40:06.7Z,4,REGULAR,freethrow,2 of 2,[],1631223,,,1610612737,93,121,2024-11-05T02:40:06Z,6200000,False,,,0,,D. Roddy Free Throw 2 of 2 (11 PTS),[1631223],1610612737.0,ATL,,,,Roddy,D. Roddy,,,,,,,,,,,,Made,11.0,,,,,,,,,,,,,
628,PT01M16.00S,2024-11-05T02:40:22.0Z,4,REGULAR,2pt,Layup,['pointsinthepaint'],1631120,92.32917214191852,51.225490196078425,1610612738,93,121,2024-11-05T02:40:28Z,6210000,False,6.0,20.0,1,right,MISS J. Davison driving Layup,[1631120],1610612738.0,BOS,driving,,,Davison,J. Davison,,,,,Restricted Area,0-8 Center,,,,,,Missed,,,,,,2.05,,,,,,,,
629,PT01M15.00S,2024-11-05T02:40:23.0Z,4,REGULAR,rebound,offensive,[],1630214,,,1610612738,93,121,2024-11-05T02:40:28Z,6220000,False,,,0,,X. Tillman REBOUND (Off:1 Def:1),[1630214],1610612738.0,BOS,,,,Tillman,X. Tillman,,,,,Restricted Area,0-8 Center,,,,,,,,628.0,2.0,1.0,1.0,,,,,,,,,
630,PT01M15.00S,2024-11-05T02:40:26.6Z,4,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630214,94.40999984741211,50.0,1610612738,93,123,2024-11-05T02:40:26Z,6230000,False,0.0,0.0,1,right,X. Tillman tip Layup (2 PTS),[1630214],1610612738.0,BOS,tip,,,Tillman,X. Tillman,,,,,Mid-Range,8-16 Left,,,,,,Made,2.0,,,,,0.0,,,,,,,,
631,PT01M00.00S,2024-11-05T02:40:40.8Z,4,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631243,10.5946123521682,41.17647058823529,1610612737,93,123,2024-11-05T02:40:47Z,6240000,False,44.0,47.0,1,left,MISS M. Gueye 6' turnaround Shot,[1631243],1610612737.0,ATL,turnaround,,,Gueye,M. Gueye,,,,,In The Paint (Non-RA),0-8 Center,,,,,,Missed,,,,,,6.45,,,,,,,,
632,PT00M58.60S,2024-11-05T02:40:42.2Z,4,REGULAR,rebound,defensive,[],1630214,,,1610612738,93,123,2024-11-05T02:40:47Z,6250000,False,,,0,,X. Tillman REBOUND (Off:1 Def:2),[1630214],1610612738.0,BOS,,,,Tillman,X. Tillman,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,631.0,3.0,2.0,1.0,,,,,,,,,
633,PT00M54.70S,2024-11-05T02:40:47.8Z,4,REGULAR,3pt,Jump Shot,['fastbreak'],1631248,68.41327201051249,73.2843137254902,1610612738,93,123,2024-11-05T02:40:53Z,6260000,False,116.0,244.0,1,right,MISS B. Scheierman 27' running pullup 3PT,[1631248],1610612738.0,BOS,running pullup,,,Scheierman,B. Scheierman,,,,,Above the Break 3,24+ Right Center,,,,,,Missed,,,,,,27.07,,,,,,,,
634,PT00M51.60S,2024-11-05T02:40:50.9Z,4,REGULAR,rebound,defensive,[],1631223,,,1610612737,93,123,2024-11-05T02:40:53Z,6270000,False,,,0,,D. Roddy REBOUND (Off:0 Def:6),[1631223],1610612737.0,ATL,,,,Roddy,D. Roddy,,,,,Above the Break 3,24+ Right Center,,,,,,,,633.0,6.0,6.0,0.0,,,,,,,,,
635,PT00M35.30S,2024-11-05T02:41:07.1Z,4,REGULAR,3pt,Jump Shot,[],1631223,29.77989487516426,72.30392156862744,1610612737,93,123,2024-11-05T02:41:12Z,6280000,False,-112.0,227.0,1,left,MISS D. Roddy 25' 3PT,[1631223],1610612737.0,ATL,,,,Roddy,D. Roddy,,,,,Above the Break 3,24+ Left Center,,,,,,Missed,,,,,,25.33,,,,,,,,
636,PT00M33.00S,2024-11-05T02:41:09.4Z,4,REGULAR,rebound,defensive,['team'],0,,,1610612738,93,123,2024-11-05T02:41:12Z,6290000,False,,,0,,TEAM defensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,Above the Break 3,24+ Left Center,,,,,,,,635.0,,,,,,,,,,,,
638,PT00M08.10S,2024-11-05T02:41:43.8Z,4,REGULAR,turnover,shot clock,['team'],0,,,1610612738,93,123,2024-11-05T02:41:55Z,6310000,False,,,0,,BOS shot clock Team TURNOVER,[],1610612738.0,BOS,,,,,,,,,,Above the Break 3,24+ Left Center,200833.0,,,,,,,,,,,,,,,,,,,
639,PT00M00.00S,2024-11-05T02:42:07.2Z,4,REGULAR,period,end,[],0,,,1610612737,93,123,2024-11-05T02:42:07Z,6320000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
640,PT00M00.00S,2024-11-05T02:42:09.6Z,4,REGULAR,game,end,[],0,,,0,93,123,2024-11-05T02:42:09Z,6330000,False,,,0,,Game End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
